日期,收入金额
2019-01-01,425
2019-01-02,798
2019-01-03,776
2019-01-04,128
2019-01-05,604
2019-01-06,784
2019-01-07,631
2019-01-08,598
2019-01-09,933
2019-01-10,227
2019-01-11,143
2019-01-12,822
2019-01-13,564
2019-01-14,348
2019-01-15,915
2019-01-16,639
2019-01-17,811
2019-01-18,423
2019-01-19,87
2019-01-20,340
2019-01-21,379
2019-01-22,177
2019-01-23,567
2019-01-24,190
2019-01-25,476
2019-01-26,602
2019-01-27,252
2019-01-28,94
2019-01-29,803
2019-01-30,302
2019-01-31,165
2019-02-01,65
2019-02-02,659
2019-02-03,693
2019-02-04,205
2019-02-05,939
2019-02-06,650
2019-02-07,98
2019-02-08,973
2019-02-09,995
2019-02-10,563
2019-02-11,791
2019-02-12,641
2019-02-13,685
2019-02-14,929
2019-02-15,304
2019-02-16,758
2019-02-17,130
2019-02-18,66
2019-02-19,173
2019-02-20,23
2019-02-21,611
2019-02-22,730
2019-02-23,471
2019-02-24,907
2019-02-25,830
2019-02-26,757
2019-02-27,871
2019-02-28,166
2019-03-01,993
2019-03-02,202
2019-03-03,194
2019-03-04,142
2019-03-05,816
2019-03-06,433
2019-03-07,779
2019-03-08,639
2019-03-09,309
2019-03-10,410
2019-03-11,466
2019-03-12,36
2019-03-13,309
2019-03-14,185
2019-03-15,644
2019-03-16,714
2019-03-17,406
2019-03-18,677
2019-03-19,307
2019-03-20,802
2019-03-21,436
2019-03-22,560
2019-03-23,167
2019-03-24,915
2019-03-25,511
2019-03-26,537
2019-03-27,839
2019-03-28,396
2019-03-29,50
2019-03-30,56
2019-03-31,216
2019-04-01,757
2019-04-02,236
2019-04-03,610
2019-04-04,844
2019-04-05,985
2019-04-06,553
2019-04-07,636
2019-04-08,222
2019-04-09,10
2019-04-10,107
2019-04-11,770
2019-04-12,834
2019-04-13,109
2019-04-14,162
2019-04-15,174
2019-04-16,539
2019-04-17,15
2019-04-18,383
2019-04-19,276
2019-04-20,969
2019-04-21,789
2019-04-22,992
2019-04-23,261
2019-04-24,93
2019-04-25,304
2019-04-26,81
2019-04-27,277
2019-04-28,436
2019-04-29,712
2019-04-30,701
2019-05-01,473
2019-05-02,855
2019-05-03,94
2019-05-04,613
2019-05-05,581
2019-05-06,350
2019-05-07,734
2019-05-08,621
2019-05-09,985
2019-05-10,170
2019-05-11,567
2019-05-12,34
2019-05-13,437
2019-05-14,230
2019-05-15,675
2019-05-16,118
2019-05-17,994
2019-05-18,595
2019-05-19,73
2019-05-20,380
2019-05-21,758
2019-05-22,328
2019-05-23,149
2019-05-24,542
2019-05-25,539
2019-05-26,710
2019-05-27,992
2019-05-28,273
2019-05-29,604
2019-05-30,955
2019-05-31,186
2019-06-01,835
2019-06-02,994
2019-06-03,62
2019-06-04,337
2019-06-05,782
2019-06-06,676
2019-06-07,148
2019-06-08,829
2019-06-09,62
2019-06-10,507
2019-06-11,963
2019-06-12,906
2019-06-13,966
2019-06-14,54
2019-06-15,786
2019-06-16,315
2019-06-17,524
2019-06-18,483
2019-06-19,810
2019-06-20,562
2019-06-21,313
2019-06-22,577
2019-06-23,101
2019-06-24,436
2019-06-25,269
2019-06-26,44
2019-06-27,967
2019-06-28,719
2019-06-29,350
2019-06-30,517
2019-07-01,487
2019-07-02,274
2019-07-03,29
2019-07-04,43
2019-07-05,14
2019-07-06,506
2019-07-07,65
2019-07-08,674
2019-07-09,229
2019-07-10,436
2019-07-11,492
2019-07-12,957
2019-07-13,45
2019-07-14,531
2019-07-15,50
2019-07-16,631
2019-07-17,937
2019-07-18,196
