日期,收入金额
2019-01-01,810
2019-01-02,327
2019-01-03,48
2019-01-04,994
2019-01-05,942
2019-01-06,373
2019-01-07,151
2019-01-08,74
2019-01-09,153
2019-01-10,976
2019-01-11,403
2019-01-12,382
2019-01-13,449
2019-01-14,343
2019-01-15,708
2019-01-16,715
2019-01-17,553
2019-01-18,548
2019-01-19,719
2019-01-20,214
2019-01-21,620
2019-01-22,503
2019-01-23,845
2019-01-24,640
2019-01-25,545
2019-01-26,66
2019-01-27,170
2019-01-28,398
2019-01-29,249
2019-01-30,762
2019-01-31,26
2019-02-01,573
2019-02-02,715
2019-02-03,165
2019-02-04,796
2019-02-05,64
2019-02-06,577
2019-02-07,294
2019-02-08,163
2019-02-09,538
2019-02-10,867
2019-02-11,790
2019-02-12,352
2019-02-13,246
2019-02-14,52
2019-02-15,254
2019-02-16,186
2019-02-17,944
2019-02-18,720
2019-02-19,457
2019-02-20,241
2019-02-21,131
2019-02-22,785
2019-02-23,460
2019-02-24,851
2019-02-25,347
2019-02-26,75
2019-02-27,296
2019-02-28,198
2019-03-01,414
2019-03-02,65
2019-03-03,568
2019-03-04,641
2019-03-05,893
2019-03-06,926
2019-03-07,955
2019-03-08,157
2019-03-09,765
2019-03-10,131
2019-03-11,476
2019-03-12,126
2019-03-13,44
2019-03-14,684
2019-03-15,870
2019-03-16,629
2019-03-17,404
2019-03-18,252
2019-03-19,329
2019-03-20,101
2019-03-21,22
2019-03-22,240
2019-03-23,908
2019-03-24,303
2019-03-25,93
2019-03-26,789
2019-03-27,480
2019-03-28,393
2019-03-29,755
2019-03-30,374
2019-03-31,387
2019-04-01,201
2019-04-02,944
2019-04-03,562
2019-04-04,648
2019-04-05,160
2019-04-06,251
2019-04-07,79
2019-04-08,765
2019-04-09,939
2019-04-10,162
2019-04-11,387
2019-04-12,721
2019-04-13,240
2019-04-14,60
2019-04-15,201
2019-04-16,804
2019-04-17,166
2019-04-18,255
2019-04-19,651
2019-04-20,897
2019-04-21,409
2019-04-22,685
2019-04-23,603
2019-04-24,271
2019-04-25,863
2019-04-26,795
2019-04-27,352
2019-04-28,652
2019-04-29,440
2019-04-30,212
2019-05-01,10
2019-05-02,59
2019-05-03,415
2019-05-04,918
2019-05-05,159
2019-05-06,654
2019-05-07,165
2019-05-08,981
2019-05-09,508
2019-05-10,92
2019-05-11,474
2019-05-12,884
2019-05-13,720
2019-05-14,774
2019-05-15,537
2019-05-16,815
2019-05-17,357
2019-05-18,867
2019-05-19,564
2019-05-20,916
2019-05-21,327
2019-05-22,438
2019-05-23,943
2019-05-24,202
2019-05-25,575
2019-05-26,41
2019-05-27,149
2019-05-28,37
2019-05-29,121
2019-05-30,347
2019-05-31,926
2019-06-01,852
2019-06-02,844
2019-06-03,917
2019-06-04,893
2019-06-05,396
2019-06-06,695
2019-06-07,68
2019-06-08,804
2019-06-09,341
2019-06-10,565
2019-06-11,519
2019-06-12,783
2019-06-13,616
2019-06-14,330
2019-06-15,106
2019-06-16,332
2019-06-17,907
2019-06-18,534
2019-06-19,405
2019-06-20,841
2019-06-21,165
2019-06-22,888
2019-06-23,968
2019-06-24,201
2019-06-25,510
2019-06-26,148
2019-06-27,457
2019-06-28,748
2019-06-29,331
2019-06-30,57
2019-07-01,850
2019-07-02,571
2019-07-03,694
2019-07-04,897
2019-07-05,889
2019-07-06,771
2019-07-07,358
2019-07-08,918
2019-07-09,92
2019-07-10,120
2019-07-11,391
2019-07-12,494
2019-07-13,427
2019-07-14,342
2019-07-15,763
2019-07-16,512
2019-07-17,976
2019-07-18,320
2019-07-19,534
2019-07-20,306
2019-07-21,625
2019-07-22,197
2019-07-23,758
2019-07-24,114
2019-07-25,86
2019-07-26,821
2019-07-27,376
2019-07-28,387
2019-07-29,60
2019-07-30,460
2019-07-31,895
2019-08-01,628
2019-08-02,859
2019-08-03,635
2019-08-04,937
2019-08-05,569
2019-08-06,296
2019-08-07,31
2019-08-08,185
2019-08-09,270
2019-08-10,338
2019-08-11,795
2019-08-12,595
2019-08-13,444
2019-08-14,713
2019-08-15,537
2019-08-16,929
2019-08-17,506
2019-08-18,451
2019-08-19,461
2019-08-20,110
2019-08-21,914
2019-08-22,413
2019-08-23,54
2019-08-24,455
2019-08-25,454
2019-08-26,295
2019-08-27,428
2019-08-28,621
2019-08-29,998
2019-08-30,366
2019-08-31,544
2019-09-01,312
2019-09-02,983
2019-09-03,478
2019-09-04,264
2019-09-05,331
2019-09-06,612
2019-09-07,282
2019-09-08,412
2019-09-09,992
2019-09-10,32
2019-09-11,560
2019-09-12,159
2019-09-13,148
2019-09-14,417
2019-09-15,421
2019-09-16,725
2019-09-17,206
2019-09-18,856
2019-09-19,792
2019-09-20,960
2019-09-21,611
2019-09-22,105
2019-09-23,749
2019-09-24,59
2019-09-25,417
2019-09-26,433
2019-09-27,460
2019-09-28,630
2019-09-29,361
2019-09-30,784
2019-10-01,895
2019-10-02,347
2019-10-03,150
2019-10-04,630
2019-10-05,1
2019-10-06,6
2019-10-07,824
2019-10-08,250
2019-10-09,666
2019-10-10,857
2019-10-11,345
2019-10-12,757
2019-10-13,432
2019-10-14,35
2019-10-15,251
2019-10-16,503
2019-10-17,400
2019-10-18,314
2019-10-19,579
2019-10-20,914
2019-10-21,110
2019-10-22,224
2019-10-23,569
2019-10-24,16
2019-10-25,632
2019-10-26,935
2019-10-27,237
2019-10-28,79
2019-10-29,54
2019-10-30,853
2019-10-31,578
2019-11-01,823
2019-11-02,545
2019-11-03,566
2019-11-04,968
2019-11-05,120
2019-11-06,882
2019-11-07,230
2019-11-08,973
2019-11-09,397
2019-11-10,505
2019-11-11,172
2019-11-12,663
2019-11-13,610
2019-11-14,954
2019-11-15,256
2019-11-16,770
2019-11-17,133
2019-11-18,466
2019-11-19,934
2019-11-20,640
2019-11-21,399
2019-11-22,189
2019-11-23,377
2019-11-24,281
2019-11-25,357
2019-11-26,408
2019-11-27,307
2019-11-28,462
2019-11-29,162
2019-11-30,21
2019-12-01,17
2019-12-02,396
2019-12-03,382
2019-12-04,157
2019-12-05,835
2019-12-06,75
2019-12-07,482
2019-12-08,271
2019-12-09,120
2019-12-10,707
2019-12-11,547
2019-12-12,730
2019-12-13,92
2019-12-14,169
2019-12-15,214
2019-12-16,823
2019-12-17,852
2019-12-18,267
2019-12-19,715
2019-12-20,413
2019-12-21,717
2019-12-22,163
2019-12-23,951
2019-12-24,119
2019-12-25,265
2019-12-26,163
2019-12-27,632
2019-12-28,475
2019-12-29,805
2019-12-30,815
2019-12-31,872
